user,timestamp,tweet,lat,lon
@rebecagarro83,Tue Apr 15 04:23:39 +0000 2014,Como una sola persona te puede cambiar tanto la vida,38.01176577,-1.03526295
@Xanketuno,Tue Apr 15 04:32:04 +0000 2014,"""@DicePrinceRoyce: En el momento que ms necesitaba un motivo, llegaste t."" @DianaYulissa23 porque las cosas no pasan x casualidad t amo",38.0616804,-1.2229339
@Iri_Sasia,Tue Apr 15 04:36:57 +0000 2014,"Yo sala hoy de tranqui -,-",37.9980915,-1.1236089
@Gissell_Tytta,Tue Apr 15 04:37:31 +0000 2014,@LissetteMarina La luna hasta cambio de color y tu an sigues de puta. !!,,
@Gissell_Tytta,Tue Apr 15 04:40:06 +0000 2014,Mejor amigo --DIOS &lt;3,,
@Gissell_Tytta,Tue Apr 15 04:42:21 +0000 2014,"Yo lo que quiero a estas horas es, estar alado tuyo, nada mas ...",,
@Gissell_Tytta,Tue Apr 15 04:48:09 +0000 2014,Miren http://t.co/ECf6drua3D,,
@lolesLM,Tue Apr 15 04:50:36 +0000 2014,"Buenos das ciudadanos de un lugar llamado Mundo!! ... Hoy,, es... Maaartes si si siiiiiiiiii,",37.9836322,-1.0483453999999999
@leila_berami_L,Tue Apr 15 04:58:12 +0000 2014,Nanit*-*,38.0116528,-1.1303721000000002
@IsikaRS82,Tue Apr 15 04:59:34 +0000 2014,@yolandaahdez @anaSCG par de guapas!,37.9850726,-1.1244963
@encarnadiazg,Tue Apr 15 05:02:04 +0000 2014,Buenos das buena gente ,37.99707389,-1.14196725
@Daurmith,Tue Apr 15 05:04:09 +0000 2014,"Hoy sale #Moebius por fin, YUPIIIIIIIII, VUELVE JANE JENSEN",,
@fatii40,Tue Apr 15 05:12:02 +0000 2014,"@Kimy2Ramos Hermosa! Feliz cumpleaos, espero que tengas un cumpleaos super maravilloso! Te adoro &lt;3",,
@whomaktub,Tue Apr 15 05:12:22 +0000 2014,"voy a tratar de hacer lo posible para ver el eclipse, bue",,
@ayub_karim,Tue Apr 15 05:15:13 +0000 2014,Bdias un martes de vacaciones y despierto a estas horas. :/ mbn ayu.,37.9864874,-1.180126
